Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
15;Fri;01.12.17;18:30;Roma;4.1;3–1;0.9;SPAL;35,609;Stadio Olimpico;Rosario Abisso;Match Report;
15;Fri;01.12.17;20:45;Napoli;1;0–1;0.6;Juventus;55,567;Stadio San Paolo;Daniele Orsato;Match Report;
15;Sat;02.12.17;20:45;Torino;0.6;1–1;1.7;Atalanta;14,605;Stadio Olimpico di Torino;Paolo Tagliavento;Match Report;
15;Sun;03.12.17;12:30;Benevento;1.1;2–2;1.8;Milan;15,710;Stadio Ciro Vigorito;Maurizio Mariani;Match Report;
15;Sun;03.12.17;15:00;Fiorentina;2.2;3–0;0.7;Sassuolo;23,398;Stadio Artemio Franchi;Luca Banti;Match Report;
15;Sun;03.12.17;15:00;Inter;2.6;5–0;0.9;Chievo;53,403;Stadio Giuseppe Meazza;Giampaolo Calvarese;Match Report;
15;Sun;03.12.17;15:00;Bologna;1.3;1–1;1.1;Cagliari;21,940;Stadio Renato Dall'Ara;Federico La Penna;Match Report;
15;Sun;03.12.17;20:45;Sampdoria;1.1;1–2;2.1;Lazio;18,050;Stadio Comunale Luigi Ferraris;Paolo Mazzoleni;Match Report;
15;Mon;04.12.17;19:00;Crotone;0.6;0–3;2.2;Udinese;8,564;Stadio Ezio Scida;Davide Massa;Match Report;
15;Mon;04.12.17;21:00;Hellas Verona;0.6;0–1;1.1;Genoa;14,136;Stadio Marc'Antonio Bentegodi;Antonio Damato;Match Report;
;;;;;;;;;;;;;
16;Sat;09.12.17;18:00;Cagliari;1.4;2–2;1.3;Sampdoria;13,424;Stadio Sant'Elia;Fabrizio Pasqua;Match Report;
16;Sat;09.12.17;20:45;Juventus;1;0–0;0.3;Inter;41,418;Allianz Stadium;Paolo Valeri;Match Report;
16;Sun;10.12.17;12:30;Chievo;0.9;0–0;2.6;Roma;10,000;Stadio Marc'Antonio Bentegodi;Fabio Maresca;Match Report;
16;Sun;10.12.17;15:00;Napoli;1.5;0–0;0.3;Fiorentina;45,000;Stadio San Paolo;Michael Fabbri;Match Report;
16;Sun;10.12.17;15:00;SPAL;2.6;2–2;2.1;Hellas Verona;10,851;Stadio Paolo Mazza;Gianluca Rocchi;Match Report;
16;Sun;10.12.17;15:00;Udinese;0.5;2–0;1.7;Benevento;11,000;Dacia Arena;Gianluca Aureliano;Match Report;
16;Sun;10.12.17;18:00;Sassuolo;2.3;2–1;0.6;Crotone;6,000;Stadio Città del Tricolore;Gianluca Manganiello;Match Report;
16;Sun;10.12.17;20:45;Milan;1;2–1;0.8;Bologna;39,504;Stadio Giuseppe Meazza;Marco Guida;Match Report;
16;Mon;11.12.17;21:00;Lazio;1.8;1–3;1.4;Torino;20,000;Stadio Olimpico;Piero Giacomelli;Match Report;
16;Tue;12.12.17;19:00;Genoa;1.4;1–2;1.5;Atalanta;18,281;Stadio Comunale Luigi Ferraris;Daniele Doveri;Match Report;
;;;;;;;;;;;;;
17;Sat;16.12.17;15:00;Inter;1.5;1–3;2.8;Udinese;52,011;Stadio Giuseppe Meazza;Maurizio Mariani;Match Report;
17;Sat;16.12.17;18:00;Torino;0.8;1–3;2.3;Napoli;19,000;Stadio Olimpico di Torino;Paolo Mazzoleni;Match Report;
17;Sat;16.12.17;20:45;Roma;2.7;1–0;0.3;Cagliari;33,133;Stadio Olimpico;Antonio Damato;Match Report;
17;Sun;17.12.17;12:30;Hellas Verona;1.1;3–0;2.3;Milan;19,439;Stadio Marc'Antonio Bentegodi;Daniele Orsato;Match Report;
17;Sun;17.12.17;15:00;Bologna;0.2;0–3;1;Juventus;29,270;Stadio Renato Dall'Ara;Luca Banti;Match Report;
17;Sun;17.12.17;15:00;Fiorentina;1.4;0–0;0.3;Genoa;21,043;Stadio Artemio Franchi;Giampaolo Calvarese;Match Report;
17;Sun;17.12.17;15:00;Sampdoria;0.9;0–1;2;Sassuolo;17,563;Stadio Comunale Luigi Ferraris;Claudio Gavillucci;Match Report;
17;Sun;17.12.17;15:00;Crotone;2.2;1–0;0.7;Chievo;8,799;Stadio Ezio Scida;Luca Pairetto;Match Report;
17;Sun;17.12.17;18:00;Benevento;0.9;1–2;2.5;SPAL;10,312;Stadio Ciro Vigorito;Fabrizio Pasqua;Match Report;
17;Sun;17.12.17;20:45;Atalanta;2.6;3–3;1.2;Lazio;16,692;Stadio Atleti Azzurri d'Italia;Massimiliano Irrati;Match Report;
;;;;;;;;;;;;;
18;Fri;22.12.17;18:00;Chievo;1.9;2–3;1.7;Bologna;7,000;Stadio Marc'Antonio Bentegodi;Gianluca Manganiello;Match Report;
18;Fri;22.12.17;20:45;Cagliari;0.2;0–1;1.5;Fiorentina;14,297;Stadio Sant'Elia;Marco Di Bello;Match Report;
18;Sat;23.12.17;12:30;Lazio;3.3;4–0;0.4;Crotone;25,000;Stadio Olimpico;Giampaolo Calvarese;Match Report;
18;Sat;23.12.17;15:00;SPAL;1.5;2–2;1.5;Torino;12,522;Stadio Paolo Mazza;Paolo Valeri;Match Report;
18;Sat;23.12.17;15:00;Genoa;3.4;1–0;1.2;Benevento;19,465;Stadio Comunale Luigi Ferraris;Rosario Abisso;Match Report;
18;Sat;23.12.17;15:00;Napoli;2.3;3–2;0.9;Sampdoria;45,000;Stadio San Paolo;Davide Massa;Match Report;
18;Sat;23.12.17;15:00;Sassuolo;0.8;1–0;1.9;Inter;19,000;Stadio Città del Tricolore;Daniele Doveri;Match Report;
18;Sat;23.12.17;15:00;Udinese;2.1;4–0;0.1;Hellas Verona;14,000;Dacia Arena;Fabio Maresca;Match Report;
18;Sat;23.12.17;18:00;Milan;1;0–2;1.7;Atalanta;45,746;Stadio Giuseppe Meazza;Michael Fabbri;Match Report;
18;Sat;23.12.17;20:45;Juventus;2.5;1–0;2;Roma;41,100;Allianz Stadium;Paolo Tagliavento;Match Report;
;;;;;;;;;;;;;
19;Fri;29.12.17;20:45;Crotone;0.1;0–1;1.3;Napoli;15,000;Stadio Ezio Scida;Maurizio Mariani;Match Report;
19;Sat;30.12.17;12:30;Fiorentina;1.4;1–1;0.6;Milan;30,213;Stadio Artemio Franchi;Luca Banti;Match Report;
19;Sat;30.12.17;15:00;Bologna;1.1;1–2;1.1;Udinese;20,954;Stadio Renato Dall'Ara;Claudio Gavillucci;Match Report;
19;Sat;30.12.17;15:00;Sampdoria;2.4;2–0;0.4;SPAL;19,583;Stadio Comunale Luigi Ferraris;Luca Pairetto;Match Report;
19;Sat;30.12.17;15:00;Atalanta;2.4;1–2;0.7;Cagliari;17,755;Stadio Atleti Azzurri d'Italia;Fabrizio Pasqua;Match Report;
19;Sat;30.12.17;15:00;Torino;0.7;0–0;0.1;Genoa;15,000;Stadio Olimpico di Torino;Massimiliano Irrati;Match Report;
19;Sat;30.12.17;15:00;Benevento;1;1–0;0.7;Chievo;10,200;Stadio Ciro Vigorito;Francesco Fourneau;Match Report;
19;Sat;30.12.17;15:00;Roma;1.2;1–1;0.6;Sassuolo;37,157;Stadio Olimpico;Daniele Orsato;Match Report;
19;Sat;30.12.17;18:00;Inter;0.6;0–0;0.7;Lazio;61,852;Stadio Giuseppe Meazza;Gianluca Rocchi;Match Report;
19;Sat;30.12.17;20:45;Hellas Verona;0.1;1–3;1.1;Juventus;29,215;Stadio Marc'Antonio Bentegodi;Paolo Mazzoleni;Match Report;
;;;;;;;;;;;;;
