Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
19;Sat;26.01.19;15:30;Wolfsburg;0.7;0–3;3.1;Leverkusen;21,736;Volkswagen Arena;Felix Zwayer;Match Report;
19;Sat;26.01.19;15:30;M'Gladbach;1.9;2–0;0.6;Augsburg;42,509;Stadion im Borussia-Park;Harm Osmers;Match Report;
19;Sat;26.01.19;15:30;Mainz 05;3;2–1;0.5;Nürnberg;22,005;Opel Arena;Bastian Dankert;Match Report;
19;Sat;26.01.19;18:30;Werder Bremen;3.5;2–2;1.6;Eint Frankfurt;42,100;Weserstadion;Markus Schmidt;Match Report;
19;Sun;27.01.19;15:30;Bayern Munich;2.2;4–1;0.9;Stuttgart;75,000;Allianz Arena;Frank Willenborg;Match Report;
19;Sun;27.01.19;18:00;Düsseldorf;0.3;0–4;2.4;RB Leipzig;34,394;Merkur Spielarena;Robert Hartmann;Match Report;
;;;;;;;;;;;;;
20;Fri;01.02.19;20:30;Hannover 96;0.1;0–3;3;RB Leipzig;32,400;HDI-Arena;Daniel Schlager;Match Report;
20;Sat;02.02.19;15:30;Hertha BSC;1.4;0–1;1.2;Wolfsburg;39,259;Olympiastadion Berlin;Bastian Dankert;Match Report;
20;Sat;02.02.19;15:30;Hoffenheim;1.8;1–1;0.9;Düsseldorf;24,747;PreZero Arena;Benjamin Cortus;Match Report;
20;Sat;02.02.19;15:30;Nürnberg;1.3;1–1;0.9;Werder Bremen;35,753;Max-Morlock-Stadion;Robert Kampka;Match Report;
20;Sat;02.02.19;15:30;Eint Frankfurt;1;1–1;1.5;Dortmund;51,500;Commerzbank-Arena;Felix Zwayer;Match Report;
20;Sat;02.02.19;15:30;Leverkusen;1.7;3–1;1.6;Bayern Munich;30,210;BayArena;Tobias Stieler;Match Report;
20;Sat;02.02.19;18:30;Schalke 04;0.4;0–2;1.6;M'Gladbach;62,271;Veltins-Arena;Marco Fritz;Match Report;
20;Sun;03.02.19;15:30;Augsburg;3.3;3–0;0.3;Mainz 05;25,733;WWK Arena;Sören Storks;Match Report;
20;Sun;03.02.19;18:00;Stuttgart;1.3;2–2;2.1;Freiburg;51,009;Mercedes-Benz Arena;Deniz Aytekin;Match Report;
;;;;;;;;;;;;;
21;Fri;08.02.19;20:30;Mainz 05;1.7;1–5;2.7;Leverkusen;21,905;Opel Arena;Robert Schröder;Match Report;
21;Sat;09.02.19;15:30;M'Gladbach;1.1;0–3;1.6;Hertha BSC;48,232;Stadion im Borussia-Park;Martin Petersen;Match Report;
21;Sat;09.02.19;15:30;RB Leipzig;1.7;0–0;0.4;Eint Frankfurt;38,330;Red Bull Arena;Guido Winkmann;Match Report;
21;Sat;09.02.19;15:30;Freiburg;1;3–3;1.7;Wolfsburg;23,600;Schwarzwald-Stadion;Felix Brych;Match Report;
21;Sat;09.02.19;15:30;Hannover 96;1.7;2–0;1.1;Nürnberg;33,700;HDI-Arena;Tobias Welz;Match Report;
21;Sat;09.02.19;15:30;Dortmund;2.5;3–3;1.3;Hoffenheim;81,365;Signal Iduna Park;Marco Fritz;Match Report;
21;Sat;09.02.19;18:30;Bayern Munich;2.2;3–1;0.8;Schalke 04;75,000;Allianz Arena;Daniel Siebert;Match Report;
21;Sun;10.02.19;15:30;Werder Bremen;1.2;4–0;1.2;Augsburg;40,138;Weserstadion;Manuel Gräfe;Match Report;
21;Sun;10.02.19;18:00;Düsseldorf;1.9;3–0;1.2;Stuttgart;40,211;Merkur Spielarena;Christian Dingert;Match Report;
;;;;;;;;;;;;;
22;Fri;15.02.19;20:30;Augsburg;0.4;2–3;1.8;Bayern Munich;30,660;WWK Arena;Bibiana Steinhaus;Match Report;
