Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
19;Sun;31.01.21;15:30;Köln;1.7;3–1;1.5;Arminia;;RheinEnergieSTADION;Felix Zwayer;Match Report;
19;Sun;31.01.21;18:00;Wolfsburg;2.3;3–0;0.7;Freiburg;;Volkswagen Arena;Tobias Reichel;Match Report;
;;;;;;;;;;;;;
20;Fri;05.02.21;20:00;Hertha BSC;1.4;0–1;2.4;Bayern Munich;;Olympiastadion Berlin;Robert Schröder;Match Report;
20;Sat;06.02.21;15:30;Leverkusen;3.9;5–2;1.5;Stuttgart;;BayArena;Sven Jablonski;Match Report;
20;Sat;06.02.21;15:30;Schalke 04;0.2;0–3;2.1;RB Leipzig;;Veltins-Arena;Martin Petersen;Match Report;
20;Sat;06.02.21;15:30;Freiburg;0.2;2–1;1.5;Dortmund;;Schwarzwald-Stadion;Felix Brych;Match Report;
20;Sat;06.02.21;15:30;Augsburg;0.6;0–2;2.3;Wolfsburg;;WWK Arena;Robert Hartmann;Match Report;
20;Sat;06.02.21;15:30;Mainz 05;1.9;1–0;0.8;Union Berlin;;Opel Arena;Sascha Stegemann;Match Report;
20;Sat;06.02.21;18:30;M'Gladbach;0.8;1–2;0.5;Köln;;Stadion im Borussia-Park;Christian Dingert;Match Report;
20;Sun;07.02.21;15:30;Hoffenheim;0.9;1–3;1;Eint Frankfurt;;PreZero Arena;Daniel Siebert;Match Report;
;;;;;;;;;;;;;
21;Fri;12.02.21;20:30;RB Leipzig;2.9;2–1;0.9;Augsburg;;Red Bull Arena;Felix Zwayer;Match Report;
21;Sat;13.02.21;15:30;Dortmund;1.7;2–2;2.6;Hoffenheim;;Signal Iduna Park;Bastian Dankert;Match Report;
21;Sat;13.02.21;15:30;Stuttgart;1.3;1–1;1.4;Hertha BSC;;Mercedes-Benz Arena;Harm Osmers;Match Report;
21;Sat;13.02.21;15:30;Leverkusen;1.3;2–2;2.5;Mainz 05;;BayArena;Guido Winkmann;Match Report;
21;Sat;13.02.21;15:30;Werder Bremen;0.7;0–0;0.8;Freiburg;;Weserstadion;Manuel Gräfe;Match Report;
21;Sat;13.02.21;18:30;Union Berlin;2.3;0–0;0.4;Schalke 04;;Stadion An der Alten Försterei;Daniel Schlager;Match Report;
21;Sun;14.02.21;15:30;Eint Frankfurt;2;2–0;0.4;Köln;;Commerzbank-Arena;Frank Willenborg;Match Report;
21;Sun;14.02.21;18:00;Wolfsburg;0.8;0–0;0.6;M'Gladbach;;Volkswagen Arena;Tobias Stieler;Match Report;
21;Mon;15.02.21;20:30;Bayern Munich;2.1;3–3;1.2;Arminia;;Allianz Arena;Florian Badstübner;Match Report;
;;;;;;;;;;;;;
22;Fri;19.02.21;20:30;Arminia;0.6;0–3;1.1;Wolfsburg;;SchücoArena;Felix Brych;Match Report;
22;Sat;20.02.21;15:30;M'Gladbach;0.8;1–2;0.7;Mainz 05;;Stadion im Borussia-Park;Markus Schmidt;Match Report;
22;Sat;20.02.21;15:30;Köln;0.7;0–1;0.5;Stuttgart;;RheinEnergieSTADION;Benjamin Cortus;Match Report;
22;Sat;20.02.21;15:30;Freiburg;0.4;0–1;1.2;Union Berlin;;Schwarzwald-Stadion;Sören Storks;Match Report;
22;Sat;20.02.21;15:30;Eint Frankfurt;1.1;2–1;2;Bayern Munich;;Commerzbank-Arena;Sascha Stegemann;Match Report;
22;Sat;20.02.21;18:30;Schalke 04;0.8;0–4;1.7;Dortmund;;Veltins-Arena;Daniel Siebert;Match Report;
22;Sun;21.02.21;13:30;Augsburg;1.5;1–1;0.5;Leverkusen;;WWK Arena;Christian Dingert;Match Report;
22;Sun;21.02.21;15:30;Hertha BSC;0.6;0–3;1;RB Leipzig;;Olympiastadion Berlin;Sven Jablonski;Match Report;
22;Sun;21.02.21;18:00;Hoffenheim;1.7;4–0;0.1;Werder Bremen;;PreZero Arena;Robert Schröder;Match Report;
;;;;;;;;;;;;;
23;Fri;26.02.21;20:30;Werder Bremen;1;2–1;0.9;Eint Frankfurt;;Weserstadion;Robert Hartmann;Match Report;
23;Sat;27.02.21;15:30;Wolfsburg;0.5;2–0;1.2;Hertha BSC;;Volkswagen Arena;Bastian Dankert;Match Report;
