Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
16;Sun;20.12.20;15:00;Saint-Étienne;2.6;2–2;1.8;Nîmes;;Stade Geoffroy-Guichard;Mikael Lesage;Match Report;
16;Sun;20.12.20;17:00;Lorient;1.3;0–3;1.3;Rennes;;Stade Yves Allainmat - Le Moustoir;Eric Wattellier;Match Report;
16;Sun;20.12.20;21:00;Lille;0.6;0–0;0.8;Paris S-G;;Stade Pierre-Mauroy;François Letexier;Match Report;
;;;;;;;;;;;;;
17;Wed;23.12.20;19:00;Nice;0.4;2–2;2.6;Lorient;;Stade de Nice;Aurélien Petit;Match Report;
17;Wed;23.12.20;19:00;Rennes;1;1–0;1.1;Metz;;Roazhon Park;Florent Batta;Match Report;
17;Wed;23.12.20;19:00;Bordeaux;1.2;1–3;1.4;Reims;;Stade Matmut-Atlantique;Jérôme Brisard;Match Report;
17;Wed;23.12.20;19:00;Nîmes;0.9;1–3;1.3;Dijon;;Stade des Costières;Jérémie Pignard;Match Report;
17;Wed;23.12.20;19:00;Lens;2.1;2–1;1.4;Brest;;Stade Bollaert-Delelis;Bastien Dechepy;Match Report;
17;Wed;23.12.20;21:00;Montpellier;0.9;2–3;2;Lille;;Stade de la Mosson;Clément Turpin;Match Report;
17;Wed;23.12.20;21:00;Monaco;0.8;2–2;1.9;Saint-Étienne;;Stade Louis II.;Johan Hamel;Match Report;
17;Wed;23.12.20;21:00;Angers;1;2–1;1.3;Marseille;;Stade Raymond Kopa;Hakim Ben El Hadj Salem;Match Report;
17;Wed;23.12.20;21:00;Lyon;3.6;3–0;2;Nantes;;Groupama Stadium;Ruddy Buquet;Match Report;
17;Wed;23.12.20;21:00;Paris S-G;2.8;4–0;0.9;Strasbourg;;Parc des Princes;Jérôme Miguelgorry;Match Report;
;;;;;;;;;;;;;
18;Wed;06.01.21;19:00;Lorient;0.7;2–5;2.2;Monaco;;Stade Yves Allainmat - Le Moustoir;Franck Schneider;Match Report;
18;Wed;06.01.21;19:00;Strasbourg;4.4;5–0;1;Nîmes;;Stade de la Meinau;Benoît Millot;Match Report;
18;Wed;06.01.21;19:00;Brest;1.6;2–0;1.4;Nice;;Stade Francis-Le Blé;Jeremy Stinat;Match Report;
18;Wed;06.01.21;19:00;Metz;0.7;0–0;1;Bordeaux;;Stade Saint-Symphorien;Antony Gautier;Match Report;
18;Wed;06.01.21;19:00;Nantes;1;0–0;0.7;Rennes;;Stade de la Beaujoire - Louis Fonteneau;Jérémie Pignard;Match Report;
18;Wed;06.01.21;21:00;Lille;0.5;1–2;0.4;Angers;;Stade Pierre-Mauroy;Thomas Léonard;Match Report;
18;Wed;06.01.21;21:00;Lyon;2.4;3–2;0.7;Lens;;Groupama Stadium;Eric Wattellier;Match Report;
18;Wed;06.01.21;21:00;Saint-Étienne;1.2;1–1;1.6;Paris S-G;;Stade Geoffroy-Guichard;Karim Abed;Match Report;
18;Wed;06.01.21;21:00;Reims;0.6;0–0;0.2;Dijon;;Stade Auguste-Delaune II;Amaury Delerue;Match Report;
18;Wed;06.01.21;21:00;Marseille;2.6;3–1;1.1;Montpellier;;Orange Vélodrome;Stéphanie Frappart;Match Report;
;;;;;;;;;;;;;
19;Sat;09.01.21;21:00;Rennes;1.4;2–2;1.1;Lyon;;Roazhon Park;Mikael Lesage;Match Report;
19;Sat;09.01.21;21:00;Monaco;2.5;3–0;0.5;Angers;;Stade Louis II.;Benoît Bastien;Match Report;
19;Sat;09.01.21;21:00;Reims;1.4;3–1;1.2;Saint-Étienne;;Stade Auguste-Delaune II;Florent Batta;Match Report;
19;Sat;09.01.21;21:00;Metz;1.3;1–1;1.5;Nice;;Stade Saint-Symphorien;Johan Hamel;Match Report;
19;Sat;09.01.21;21:00;Bordeaux;1.4;2–1;1.3;Lorient;;Stade Matmut-Atlantique;Willy Delajod;Match Report;
19;Sat;09.01.21;21:00;Dijon;0.5;0–0;1.5;Marseille;;Stade Gaston Gérard;Jérôme Miguelgorry;Match Report;
19;Sat;09.01.21;21:00;Montpellier;1.2;1–1;1;Nantes;;Stade de la Mosson;François Letexier;Match Report;
19;Sat;09.01.21;21:00;Lens;0.6;0–1;1.3;Strasbourg;;Stade Bollaert-Delelis;Clément Turpin;Match Report;
19;Sat;09.01.21;21:00;Paris S-G;2.9;3–0;0.8;Brest;;Parc des Princes;Hakim Ben El Hadj Salem;Match Report;
19;Sat;09.01.21;21:00;Nîmes;0.3;0–1;1;Lille;;Stade des Costières;Jérôme Brisard;Match Report;
;;;;;;;;;;;;;
20;Fri;15.01.21;21:00;Montpellier;0.6;2–3;2.7;Monaco;;Stade de la Mosson;Aurélien Petit;Match Report;
20;Sat;16.01.21;17:00;Marseille;2.2;1–2;1.5;Nîmes;;Orange Vélodrome;Jeremy Stinat;Match Report;
20;Sat;16.01.21;21:00;Angers;0.9;0–1;1.5;Paris S-G;;Stade Raymond Kopa;Amaury Delerue;Match Report;
20;Sun;17.01.21;13:00;Brest;1.6;1–2;1.7;Rennes;;Stade Francis-Le Blé;Ruddy Buquet;Match Report;
20;Sun;17.01.21;15:00;Nice;0.7;0–3;1.9;Bordeaux;;Stade de Nice;Thomas Léonard;Match Report;
20;Sun;17.01.21;15:00;Nantes;1;1–1;1.7;Lens;;Stade de la Beaujoire - Louis Fonteneau;Franck Schneider;Match Report;
20;Sun;17.01.21;15:00;Strasbourg;2.3;1–0;1.3;Saint-Étienne;;Stade de la Meinau;Antony Gautier;Match Report;
20;Sun;17.01.21;17:00;Lille;1.7;2–1;0.5;Reims;;Stade Pierre-Mauroy;Benoît Millot;Match Report;
20;Sun;17.01.21;21:00;Lyon;1.4;0–1;1.9;Metz;;Groupama Stadium;Stéphanie Frappart;Match Report;
;;;;;;;;;;;;;
9;Wed;20.01.21;21:00;Marseille;0.1;0–1;1.7;Lens;;Orange Vélodrome;Jérémie Pignard;Match Report;
;;;;;;;;;;;;;
21;Fri;22.01.21;21:00;Paris S-G;5.4;4–0;0.6;Montpellier;;Parc des Princes;Willy Delajod;Match Report;
21;Sat;23.01.21;17:00;Lens;1;0–1;0.6;Nice;;Stade Bollaert-Delelis;Hakim Ben El Hadj Salem;Match Report;
21;Sat;23.01.21;21:00;Monaco;1.3;3–1;0.5;Marseille;;Stade Louis II.;François Letexier;Match Report;
21;Sun;24.01.21;13:00;Bordeaux;0.8;2–1;1.7;Angers;;Stade Matmut-Atlantique;Florent Batta;Match Report;
