Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
18;Wed;06.01.16;15:00;Juventus;3–0;Hellas Verona;38,748;Allianz Stadium;Giampaolo Calvarese;Match Report;
18;Wed;06.01.16;15:00;Sassuolo;2–2;Frosinone;15,160;Stadio Città del Tricolore;Luca Pairetto;Match Report;
18;Wed;06.01.16;15:00;Palermo;1–3;Fiorentina;13,928;Stadio Renzo Barbera;Antonio Damato;Match Report;
18;Wed;06.01.16;18:00;Empoli;0–1;Inter;13,735;Stadio Carlo Castellani;Domenico Celi;Match Report;
18;Wed;06.01.16;20:45;Napoli;2–1;Torino;33,326;Stadio San Paolo;Marco Di Bello;Match Report;
;;;;;;;;;;;
19;Sat;09.01.16;15:00;Carpi;2–1;Udinese;5,268;Stadio Sandro Cabassi;Michael Fabbri;Match Report;
19;Sat;09.01.16;18:00;Fiorentina;1–3;Lazio;25,361;Stadio Artemio Franchi;Nicola Rizzoli;Match Report;
19;Sat;09.01.16;20:45;Roma;1–1;Milan;34,777;Stadio Olimpico;Daniele Orsato;Match Report;
19;Sun;10.01.16;12:30;Inter;0–1;Sassuolo;40,322;Stadio Giuseppe Meazza;Daniele Doveri;Match Report;
19;Sun;10.01.16;15:00;Torino;0–1;Empoli;14,730;Stadio Olimpico di Torino;Andrea Gervasoni;Match Report;
19;Sun;10.01.16;15:00;Frosinone;1–5;Napoli;7,954;Stadio Comunale Matusa;Paolo Tagliavento;Match Report;
19;Sun;10.01.16;15:00;Hellas Verona;0–1;Palermo;15,325;Stadio Marc'Antonio Bentegodi;Luca Banti;Match Report;
19;Sun;10.01.16;15:00;Bologna;0–1;Chievo;15,818;Stadio Renato Dall'Ara;Claudio Gavillucci;Match Report;
19;Sun;10.01.16;15:00;Atalanta;0–2;Genoa;13,946;Stadio Atleti Azzurri d'Italia;Marco Guida;Match Report;
19;Sun;10.01.16;20:45;Sampdoria;1–2;Juventus;25,024;Stadio Comunale Luigi Ferraris;Paolo Mazzoleni;Match Report;
;;;;;;;;;;;
20;Sat;16.01.16;15:00;Atalanta;1–1;Inter;19,274;Stadio Atleti Azzurri d'Italia;Nicola Rizzoli;Match Report;
20;Sat;16.01.16;18:00;Torino;4–2;Frosinone;30,178;Stadio Olimpico di Torino;Massimiliano Irrati;Match Report;
20;Sat;16.01.16;20:45;Napoli;3–1;Sassuolo;40,047;Stadio San Paolo;Piero Giacomelli;Match Report;
20;Sun;17.01.16;12:30;Genoa;4–0;Palermo;19,387;Stadio Comunale Luigi Ferraris;Domenico Celi;Match Report;
20;Sun;17.01.16;15:00;Chievo;1–1;Empoli;5,200;Stadio Marc'Antonio Bentegodi;Rosario Abisso;Match Report;
20;Sun;17.01.16;15:00;Roma;1–1;Hellas Verona;29,709;Stadio Olimpico;Davide Massa;Match Report;
20;Sun;17.01.16;15:00;Udinese;0–4;Juventus;25,467;Dacia Arena;Gianluca Rocchi;Match Report;
20;Sun;17.01.16;15:00;Bologna;2–2;Lazio;16,449;Stadio Renato Dall'Ara;Marco Di Bello;Match Report;
20;Sun;17.01.16;15:00;Carpi;2–1;Sampdoria;9,669;Stadio Sandro Cabassi;Maurizio Mariani;Match Report;
20;Sun;17.01.16;20:45;Milan;2–0;Fiorentina;28,374;Stadio Giuseppe Meazza;Daniele Doveri;Match Report;
;;;;;;;;;;;
16;Wed;20.01.16;20:45;Sassuolo;1–1;Torino;7,810;Stadio Città del Tricolore;Domenico Celi;Match Report;
;;;;;;;;;;;
21;Sat;23.01.16;18:00;Frosinone;0–0;Atalanta;7,564;Stadio Comunale Matusa;Paolo Valeri;Match Report;
21;Sat;23.01.16;20:45;Empoli;2–2;Milan;11,499;Stadio Carlo Castellani;Carmine Russo;Match Report;
21;Sun;24.01.16;12:30;Fiorentina;2–0;Torino;26,392;Stadio Artemio Franchi;Paolo Mazzoleni;Match Report;
21;Sun;24.01.16;15:00;Inter;1–1;Carpi;35,826;Stadio Giuseppe Meazza;Andrea Gervasoni;Match Report;
21;Sun;24.01.16;15:00;Sampdoria;2–4;Napoli;22,635;Stadio Comunale Luigi Ferraris;Daniele Orsato;Match Report;
21;Sun;24.01.16;15:00;Lazio;4–1;Chievo;2,897;Stadio Olimpico;Giampaolo Calvarese;Match Report;
21;Sun;24.01.16;15:00;Palermo;4–1;Udinese;14,334;Stadio Renzo Barbera;Paolo Tagliavento;Match Report;
21;Sun;24.01.16;15:00;Sassuolo;0–2;Bologna;12,202;Stadio Città del Tricolore;Angelo Cervellera;Match Report;
21;Sun;24.01.16;15:00;Hellas Verona;1–1;Genoa;15,806;Stadio Marc'Antonio Bentegodi;Gianluca Rocchi;Match Report;
21;Sun;24.01.16;20:45;Juventus;1–0;Roma;38,348;Allianz Stadium;Luca Banti;Match Report;
;;;;;;;;;;;
22;Sat;30.01.16;15:00;Carpi;1–1;Palermo;6,835;Stadio Sandro Cabassi;Nicola Rizzoli;Match Report;
