Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
17;Thu;03.01.19;21:30;Villarreal;0.9;2–2;1.2;Real Madrid;19,903;Estadio de la Cerámica;Pablo González;Match Report;
;;;;;;;;;;;;;
18;Fri;04.01.19;19:00;Levante;1.6;2–2;1.1;Girona;19,415;Estadio Ciudad de Valencia;Alberto Undiano;Match Report;
18;Fri;04.01.19;21:00;Espanyol;1.2;1–0;0.4;Leganés;15,085;RCDE Stadium;José González;Match Report;
18;Sat;05.01.19;13:00;Valladolid;1.6;0–1;0.9;Rayo Vallecano;17,261;Estadio Municipal José Zorrilla;Adrián Cordero;Match Report;
18;Sat;05.01.19;16:15;Alavés;1.8;2–1;1.2;Valencia;18,304;Estadio de Mendizorroza;David Medié;Match Report;
18;Sat;05.01.19;20:45;Huesca;1.5;2–1;1.4;Betis;6,135;Estadio El Alcoraz;Ricardo de Burgos;Match Report;
18;Sun;06.01.19;12:00;Eibar;1.8;0–0;0.9;Villarreal;4,141;Estadio Municipal de Ipurúa;Santiago Jaime;Match Report;
18;Sun;06.01.19;16:15;Sevilla;1.5;1–1;0.8;Atlético Madrid;38,603;Estadio Ramón Sánchez Pizjuán;Antonio Matéu Lahoz;Match Report;
18;Sun;06.01.19;18:30;Real Madrid;2.6;0–2;2.1;Real Sociedad;53,412;Estadio Santiago Bernabéu;José Luis Munuera;Match Report;
18;Sun;06.01.19;20:45;Getafe;1.4;1–2;2;Barcelona;14,721;Coliseum Alfonso Pérez;Guillermo Cuadra;Match Report;
18;Mon;07.01.19;21:00;Celta Vigo;1.1;1–2;1.6;Athletic Club;13,266;Estadio de Balaídos;Juan Martínez;Match Report;
;;;;;;;;;;;;;
19;Fri;11.01.19;21:00;Rayo Vallecano;2;4–2;1.2;Celta Vigo;11,465;Estadio del Rayo Vallecano;Alberola Rojas;Match Report;
19;Sat;12.01.19;13:00;Leganés;1.9;1–0;0.5;Huesca;10,341;Estadio Municipal de Butarque;Mario Melero;Match Report;
19;Sat;12.01.19;16:15;Valencia;2.3;1–1;0.1;Valladolid;36,912;Estadio de Mestalla;Ignacio Iglesias;Match Report;
19;Sat;12.01.19;18:30;Girona;0.4;1–1;0.8;Alavés;10,303;Estadi Municipal de Montilivi;José Sánchez;Match Report;
19;Sat;12.01.19;20:45;Villarreal;1.9;1–2;0.9;Getafe;13,671;Estadio de la Cerámica;Javier Estrada;Match Report;
19;Sun;13.01.19;12:00;Atlético Madrid;2.3;1–0;0.7;Levante;57,093;Estadio Wanda Metropolitano;Eduardo Prieto;Match Report;
19;Sun;13.01.19;16:15;Athletic Club;1.2;2–0;0.8;Sevilla;41,342;San Mamés;Pablo González;Match Report;
19;Sun;13.01.19;18:30;Barcelona;1.5;3–0;0.8;Eibar;71,039;Camp Nou;Jesús Gil;Match Report;
19;Sun;13.01.19;20:45;Betis;0.7;1–2;0.9;Real Madrid;54,187;Estadio Benito Villamarín;Alejandro Hernández;Match Report;
