Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
19;Sat;31.12.11;;Chelsea;1–3;Aston Villa;;;Mark Halsey;Match Report;
19;Sat;31.12.11;;Bolton;1–1;Wolves;;;Mark Clattenburg;Match Report;
19;Sat;31.12.11;;Manchester Utd;2–3;Blackburn;;;Mike Dean;Match Report;
19;Sat;31.12.11;;Arsenal;1–0;QPR;;;Martin Atkinson;Match Report;
19;Sat;31.12.11;;Stoke City;2–2;Wigan Athletic;;;Michael Oliver;Match Report;
19;Sat;31.12.11;;Norwich City;1–1;Fulham;;;Howard Webb;Match Report;
19;Sun;01.01.12;;West Brom;0–1;Everton;;;Stuart Attwell;Match Report;
19;Sun;01.01.12;;Sunderland;1–0;Manchester City;;;Kevin Friend;Match Report;
;;;;;;;;;;;
20;Mon;02.01.12;;Aston Villa;0–2;Swansea City;;;Anthony Taylor;Match Report;
20;Mon;02.01.12;;Fulham;2–1;Arsenal;;;Lee Probert;Match Report;
20;Mon;02.01.12;;Blackburn;1–2;Stoke City;;;Lee Mason;Match Report;
20;Mon;02.01.12;;Wolves;1–2;Chelsea;;;Peter Walton;Match Report;
20;Mon;02.01.12;;QPR;1–2;Norwich City;;;Neil Swarbrick;Match Report;
20;Tue;03.01.12;;Manchester City;3–0;Liverpool;;;Andre Marriner;Match Report;
20;Tue;03.01.12;;Wigan Athletic;1–4;Sunderland;;;Mike Dean;Match Report;
20;Tue;03.01.12;;Tottenham;1–0;West Brom;;;Mark Halsey;Match Report;
20;Wed;04.01.12;;Newcastle Utd;3–0;Manchester Utd;;;Howard Webb;Match Report;
20;Wed;04.01.12;;Everton;1–2;Bolton;;;Phil Dowd;Match Report;
;;;;;;;;;;;
1;Wed;11.01.12;;Tottenham;2–0;Everton;;;Martin Atkinson;Match Report;
;;;;;;;;;;;
21;Sat;14.01.12;;Aston Villa;1–1;Everton;;;Mark Clattenburg;Match Report;
21;Sat;14.01.12;;West Brom;1–2;Norwich City;;;Mike Dean;Match Report;
21;Sat;14.01.12;;Liverpool;0–0;Stoke City;;;Howard Webb;Match Report;
21;Sat;14.01.12;;Manchester Utd;3–0;Bolton;;;Peter Walton;Match Report;
21;Sat;14.01.12;;Chelsea;1–0;Sunderland;;;Phil Dowd;Match Report;
21;Sat;14.01.12;;Blackburn;3–1;Fulham;;;Anthony Taylor;Match Report;
21;Sat;14.01.12;;Tottenham;1–1;Wolves;;;Mike Jones;Match Report;
21;Sun;15.01.12;;Newcastle Utd;1–0;QPR;;;Chris Foy;Match Report;
21;Sun;15.01.12;;Swansea City;3–2;Arsenal;;;Michael Oliver;Match Report;
21;Mon;16.01.12;;Wigan Athletic;0–1;Manchester City;;;Martin Atkinson;Match Report;
;;;;;;;;;;;
22;Sat;21.01.12;;Norwich City;0–0;Chelsea;;;Mark Clattenburg;Match Report;
22;Sat;21.01.12;;Stoke City;1–2;West Brom;;;Anthony Taylor;Match Report;
22;Sat;21.01.12;;Fulham;5–2;Newcastle Utd;;;Lee Mason;Match Report;
22;Sat;21.01.12;;Wolves;2–3;Aston Villa;;;Michael Oliver;Match Report;
22;Sat;21.01.12;;Everton;1–1;Blackburn;;;Mark Halsey;Match Report;
22;Sat;21.01.12;;Bolton;3–1;Liverpool;;;Kevin Friend;Match Report;
22;Sat;21.01.12;;QPR;3–1;Wigan Athletic;;;Jon Moss;Match Report;
22;Sat;21.01.12;;Sunderland;2–0;Swansea City;;;Chris Foy;Match Report;
22;Sun;22.01.12;;Arsenal;1–2;Manchester Utd;;;Mike Dean;Match Report;
22;Sun;22.01.12;;Manchester City;3–2;Tottenham;;;Howard Webb;Match Report;
;;;;;;;;;;;
23;Tue;31.01.12;;Tottenham;3–1;Wigan Athletic;;;Lee Probert;Match Report;
23;Tue;31.01.12;;Everton;1–0;Manchester City;;;Peter Walton;Match Report;
23;Tue;31.01.12;;Manchester Utd;2–0;Stoke City;;;Mike Jones;Match Report;
23;Tue;31.01.12;;Wolves;0–3;Liverpool;;;Anthony Taylor;Match Report;
23;Tue;31.01.12;;Swansea City;1–1;Chelsea;;;Andre Marriner;Match Report;
23;Wed;01.02.12;;Aston Villa;2–2;QPR;;;Neil Swarbrick;Match Report;
23;Wed;01.02.12;;Fulham;1–1;West Brom;;;Mark Halsey;Match Report;
23;Wed;01.02.12;;Blackburn;0–2;Newcastle Utd;;;Phil Dowd;Match Report;
23;Wed;01.02.12;;Sunderland;3–0;Norwich City;;;Lee Mason;Match Report;
23;Wed;01.02.12;;Bolton;0–0;Arsenal;;;Chris Foy;Match Report;
;;;;;;;;;;;
24;Sat;04.02.12;;Wigan Athletic;1–1;Everton;;;Anthony Taylor;Match Report;
24;Sat;04.02.12;;Manchester City;3–0;Fulham;;;Mike Dean;Match Report;
24;Sat;04.02.12;;QPR;1–2;Wolves;;;Mark Clattenburg;Match Report;
24;Sat;04.02.12;;Stoke City;0–1;Sunderland;;;Martin Atkinson;Match Report;
24;Sat;04.02.12;;West Brom;1–2;Swansea City;;;Jon Moss;Match Report;
24;Sat;04.02.12;;Norwich City;2–0;Bolton;;;Lee Probert;Match Report;
24;Sat;04.02.12;;Arsenal;7–1;Blackburn;;;Andre Marriner;Match Report;
24;Sun;05.02.12;;Newcastle Utd;2–1;Aston Villa;;;Mark Halsey;Match Report;
24;Sun;05.02.12;;Chelsea;3–3;Manchester Utd;;;Howard Webb;Match Report;
24;Mon;06.02.12;;Liverpool;0–0;Tottenham;;;Michael Oliver;Match Report;
;;;;;;;;;;;
25;Sat;11.02.12;;Manchester Utd;2–1;Liverpool;;;Phil Dowd;Match Report;
25;Sat;11.02.12;;Fulham;2–1;Stoke City;;;Chris Foy;Match Report;
25;Sat;11.02.12;;Sunderland;1–2;Arsenal;;;Neil Swarbrick;Match Report;
25;Sat;11.02.12;;Tottenham;5–0;Newcastle Utd;;;Andre Marriner;Match Report;
25;Sat;11.02.12;;Swansea City;2–3;Norwich City;;;Martin Atkinson;Match Report;
25;Sat;11.02.12;;Everton;2–0;Chelsea;;;Mike Jones;Match Report;
25;Sat;11.02.12;;Bolton;1–2;Wigan Athletic;;;Howard Webb;Match Report;
25;Sat;11.02.12;;Blackburn;3–2;QPR;;;Mike Dean;Match Report;
25;Sun;12.02.12;;Wolves;1–5;West Brom;;;Lee Mason;Match Report;
25;Sun;12.02.12;;Aston Villa;0–1;Manchester City;;;Michael Oliver;Match Report;
;;;;;;;;;;;
26;Sat;25.02.12;;West Brom;4–0;Sunderland;;;Chris Foy;Match Report;
26;Sat;25.02.12;;Manchester City;3–0;Blackburn;;;Mike Jones;Match Report;
26;Sat;25.02.12;;Chelsea;3–0;Bolton;;;Michael Oliver;Match Report;
26;Sat;25.02.12;;Wigan Athletic;0–0;Aston Villa;;;Kevin Friend;Match Report;
26;Sat;25.02.12;;Newcastle Utd;2–2;Wolves;;;Peter Walton;Match Report;
26;Sat;25.02.12;;QPR;0–1;Fulham;;;Phil Dowd;Match Report;
26;Sun;26.02.12;;Stoke City;2–0;Swansea City;;;Howard Webb;Match Report;
26;Sun;26.02.12;;Arsenal;5–2;Tottenham;;;Mike Dean;Match Report;
26;Sun;26.02.12;;Norwich City;1–2;Manchester Utd;;;Andre Marriner;Match Report;
;;;;;;;;;;;
27;Sat;03.03.12;;Blackburn;1–1;Aston Villa;;;Howard Webb;Match Report;
27;Sat;03.03.12;;Stoke City;1–0;Norwich City;;;Michael Oliver;Match Report;
27;Sat;03.03.12;;QPR;1–1;Everton;;;Kevin Friend;Match Report;
27;Sat;03.03.12;;Wigan Athletic;0–2;Swansea City;;;Andre Marriner;Match Report;
27;Sat;03.03.12;;Manchester City;2–0;Bolton;;;Mark Clattenburg;Match Report;
27;Sat;03.03.12;;West Brom;1–0;Chelsea;;;Phil Dowd;Match Report;
27;Sat;03.03.12;;Liverpool;1–2;Arsenal;;;Mark Halsey;Match Report;
27;Sun;04.03.12;;Tottenham;1–3;Manchester Utd;;;Martin Atkinson;Match Report;
27;Sun;04.03.12;;Fulham;5–0;Wolves;;;Mike Jones;Match Report;
27;Sun;04.03.12;;Newcastle Utd;1–1;Sunderland;;;Mike Dean;Match Report;
;;;;;;;;;;;
28;Sat;10.03.12;;Sunderland;1–0;Liverpool;;;Anthony Taylor;Match Report;
28;Sat;10.03.12;;Bolton;2–1;QPR;;;Martin Atkinson;Match Report;
28;Sat;10.03.12;;Chelsea;1–0;Stoke City;;;Andre Marriner;Match Report;
28;Sat;10.03.12;;Aston Villa;1–0;Fulham;;;Jon Moss;Match Report;
28;Sat;10.03.12;;Wolves;0–2;Blackburn;;;Chris Foy;Match Report;
28;Sat;10.03.12;;Everton;1–0;Tottenham;;;Mark Halsey;Match Report;
28;Sun;11.03.12;;Swansea City;1–0;Manchester City;;;Lee Mason;Match Report;
28;Sun;11.03.12;;Manchester Utd;2–0;West Brom;;;Lee Probert;Match Report;
28;Sun;11.03.12;;Norwich City;1–1;Wigan Athletic;;;Kevin Friend;Match Report;
28;Mon;12.03.12;;Arsenal;2–1;Newcastle Utd;;;Howard Webb;Match Report;
;;;;;;;;;;;
26;Tue;13.03.12;;Liverpool;3–0;Everton;;;Phil Dowd;Match Report;
;;;;;;;;;;;
29;Sat;17.03.12;;Fulham;0–3;Swansea City;;;Mark Halsey;Match Report;
29;Sat;17.03.12;;Wigan Athletic;1–1;West Brom;;;Michael Oliver;Match Report;
29;Sun;18.03.12;;Wolves;0–5;Manchester Utd;;;Anthony Taylor;Match Report;
29;Sun;18.03.12;;Newcastle Utd;1–0;Norwich City;;;Phil Dowd;Match Report;
29;Tue;20.03.12;;Blackburn;2–0;Sunderland;;;Martin Atkinson;Match Report;
29;Wed;21.03.12;;Manchester City;2–1;Chelsea;;;Mike Dean;Match Report;
29;Wed;21.03.12;;QPR;3–2;Liverpool;;;Howard Webb;Match Report;
29;Wed;21.03.12;;Tottenham;1–1;Stoke City;;;Mike Jones;Match Report;
29;Wed;21.03.12;;Everton;0–1;Arsenal;;;Lee Mason;Match Report;
;;;;;;;;;;;
30;Sat;24.03.12;;Norwich City;2–1;Wolves;;;Mark Clattenburg;Match Report;
30;Sat;24.03.12;;Bolton;2–1;Blackburn;;;Andre Marriner;Match Report;
30;Sat;24.03.12;;Liverpool;1–2;Wigan Athletic;;;Lee Mason;Match Report;
30;Sat;24.03.12;;Chelsea;0–0;Tottenham;;;Martin Atkinson;Match Report;
30;Sat;24.03.12;;Arsenal;3–0;Aston Villa;;;Phil Dowd;Match Report;
30;Sat;24.03.12;;Stoke City;1–1;Manchester City;;;Howard Webb;Match Report;
30;Sat;24.03.12;;Sunderland;3–1;QPR;;;Mike Jones;Match Report;
30;Sat;24.03.12;;Swansea City;0–2;Everton;;;Neil Swarbrick;Match Report;
30;Sun;25.03.12;;West Brom;1–3;Newcastle Utd;;;Chris Foy;Match Report;
30;Mon;26.03.12;;Manchester Utd;1–0;Fulham;;;Michael Oliver;Match Report;
