Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
13;Sat;03.12.16;15:30;Hoffenheim;4–0;Köln;29,740;PreZero Arena;Günter Perl;Match Report;
13;Sat;03.12.16;15:30;Werder Bremen;2–1;Ingolstadt 04;38,438;Weserstadion;Tobias Stieler;Match Report;
13;Sat;03.12.16;15:30;Dortmund;4–1;M'Gladbach;81,360;Signal Iduna Park;Marco Fritz;Match Report;
13;Sat;03.12.16;15:30;Wolfsburg;2–3;Hertha BSC;25,317;Volkswagen Arena;Jochen Drees;Match Report;
13;Sat;03.12.16;15:30;Leverkusen;1–1;Freiburg;27,111;BayArena;Benjamin Cortus;Match Report;
13;Sat;03.12.16;18:30;RB Leipzig;2–1;Schalke 04;42,558;Red Bull Arena;Bastian Dankert;Match Report;
13;Sun;04.12.16;15:30;Darmstadt 98;0–2;Hamburger SV;17,400;Jonathan-Heimes-Stadion am Böllenfalltor;Guido Winkmann;Match Report;
13;Sun;04.12.16;17:30;Augsburg;1–1;Eint Frankfurt;26,549;WWK Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;
14;Fri;09.12.16;20:30;Eint Frankfurt;0–0;Hoffenheim;47,000;Commerzbank-Arena;Christian Dingert;Match Report;
14;Sat;10.12.16;15:30;Köln;1–1;Dortmund;50,000;RheinEnergieSTADION;Felix Zwayer;Match Report;
14;Sat;10.12.16;15:30;Freiburg;1–0;Darmstadt 98;24,000;Schwarzwald-Stadion;Wolfgang Stark;Match Report;
14;Sat;10.12.16;15:30;Bayern Munich;5–0;Wolfsburg;75,000;Allianz Arena;Sascha Stegemann;Match Report;
14;Sat;10.12.16;15:30;Hamburger SV;1–0;Augsburg;45,793;Volksparkstadion;Daniel Siebert;Match Report;
14;Sat;10.12.16;15:30;Ingolstadt 04;1–0;RB Leipzig;15,200;Audi-Sportpark;Markus Schmidt;Match Report;
14;Sat;10.12.16;18:30;Hertha BSC;0–1;Werder Bremen;51,337;Olympiastadion Berlin;Harm Osmers;Match Report;
14;Sun;11.12.16;15:30;M'Gladbach;1–0;Mainz 05;48,037;Stadion im Borussia-Park;Robert Hartmann;Match Report;
14;Sun;11.12.16;17:30;Schalke 04;0–1;Leverkusen;60,821;Veltins-Arena;Deniz Aytekin;Match Report;
;;;;;;;;;;;
